"Reference","Value","Datasheet","Footprint","Qty","DNP"
"U1,U27,U28","CY62256-70PC","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf","Package_DIP:DIP-28_W15.24mm","3",""
"U2","W65C02SxP","http://www.westerndesigncenter.com/wdc/documentation/w65c02s.pdf","Package_DIP:DIP-40_W15.24mm","1",""
"U3,U4,U5","W65C22SxP","http://www.westerndesigncenter.com/wdc/documentation/w65c22.pdf","Package_DIP:DIP-40_W15.24mm","3",""
"U6,U7","GAL16V8","","","2",""
"U8,U9","74AHC595","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","2",""
"U10","7A4HC14","http://www.ti.com/lit/gpn/sn74HC14","","1",""
"U11","74AHC14","http://www.ti.com/lit/gpn/sn74HC14","","1",""
"U12","27C512","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"U13","SN76489","","","1",""
"U14","74AHC163","http://www.ti.com/lit/gpn/sn74LS163","","1",""
"U15,U16,U17,U18,U19","74HC245","http://www.ti.com/lit/gpn/sn74HC245","","5",""
"U20","28C256","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf","","1",""
"U21,U22,U23,U24","74HC590","https://assets.nexperia.com/documents/data-sheet/74HC590.pdf","","4",""
"U25","74LS163","http://www.ti.com/lit/gpn/sn74LS163","","1",""
"U26","74AHC273","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT273.pdf","","1",""
"X1,X3,X4","CXO_DIP14","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf","Oscillator:Oscillator_DIP-14","3",""
"X2","CXO_DIP8","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf","Oscillator:Oscillator_DIP-8","1",""
